event_id,customer_id,cell_tower_id,region,network_type,device_type,event_type,event_timestamp,signal_strength,latency_ms,dropped_call,data_usage_mb
6d6a19f9-c17f-4e6c-98af-b9401926e02d,131879,TOWER_98,New York,LTE,Motorola,SMS,2026-06-06 08:09:43,-62,151,0,166.97
6e3a83b2-935f-4c96-a4b6-8c3d84703f76,169046,TOWER_457,Houston,5G,Motorola,SMS,2026-06-06 00:03:43,-45,105,0,445.87
8f357115-80af-4342-8146-82c1b0db6953,969428,TOWER_320,Houston,LTE,iPhone,CALL,2026-06-03 14:28:43,-100,161,1,376.99
6006a051-cfc5-49b8-8d28-1b9724d97b24,412003,TOWER_272,Austin,LTE,Samsung,DATA,2026-06-04 08:13:43,-73,270,0,280.98
5ad4a401-3e6c-4d8b-a8ac-8ed2f85b7143,520904,TOWER_319,Atlanta,4G,Samsung,CALL,2026-06-08 22:20:43,-92,485,0,3.99
a3aad6b9-b82b-4ab6-af5f-11f2fc8e5aa7,411344,TOWER_221,Chicago,LTE,Pixel,DATA,2026-06-04 10:46:43,-123,113,0,100.25
357b8c98-a6ad-4253-96dd-fd3f71b4eb37,142698,TOWER_414,Chicago,5G,Samsung,SMS,2026-06-07 13:54:43,-70,491,0,68.71
6d2895e0-4b22-4f90-b8be-46bad199fbbb,302248,TOWER_145,New York,5G,Pixel,CALL,2026-06-08 16:57:43,-62,243,0,210.96
bc2f8389-eb6f-4436-88fd-bf5607323ed6,242284,TOWER_412,Houston,LTE,Pixel,DATA,2026-06-03 09:35:43,-77,44,0,355.94
8519e796-4b2e-467c-8388-febae901ccdb,681648,TOWER_395,Austin,4G,Samsung,DATA,2026-06-04 03:03:43,-103,142,0,119.85
fc236065-01fb-464e-b844-fe61f08b5f26,567145,TOWER_449,Chicago,LTE,iPhone,SMS,2026-06-06 06:27:43,-98,413,0,364.6
4d7aa150-545c-427b-8869-665271444751,157358,TOWER_180,Atlanta,5G,Samsung,DATA,2026-06-04 19:44:43,-46,96,0,72.55
72c10b7b-f4da-4e6e-8421-d9857324b60b,883720,TOWER_8,New York,4G,Motorola,CALL,2026-06-05 09:00:43,-93,374,1,337.08
8fa8463e-ffde-42cc-894b-8edbbf07bea5,567604,TOWER_10,New York,LTE,iPhone,CALL,2026-06-08 05:42:43,-63,471,1,359.29
52b86c7f-6fc4-4b7c-ab26-59196d72d311,988023,TOWER_452,New York,5G,iPhone,DATA,2026-06-08 10:16:43,-76,389,1,458.82
08bcc07d-4115-4aaf-ae79-9cc4088c31b3,317715,TOWER_119,Dallas,4G,iPhone,DATA,2026-06-05 00:03:43,-114,171,1,439.9
338bee18-735d-4b91-ab93-5b69aa0bd4e4,965729,TOWER_31,Austin,4G,Pixel,SMS,2026-06-07 06:11:43,-111,320,1,173.32
45411d2d-2aa1-4ec6-aefe-5cd9f8630630,914883,TOWER_335,New York,5G,Pixel,DATA,2026-06-08 18:23:43,-84,191,1,354.19
58c266c1-3b06-477c-83e5-52dcd33cdb41,478207,TOWER_188,New York,4G,Samsung,SMS,2026-06-07 23:35:43,-94,276,0,464.41
dd160795-e482-4e89-b835-803ca3505e9e,944214,TOWER_266,New York,5G,Pixel,CALL,2026-06-08 22:58:43,-41,133,0,197.44
24c8d325-50f4-41dc-b662-94ae0fec4d82,457793,TOWER_32,Houston,4G,Pixel,CALL,2026-06-07 02:24:43,-124,169,0,34.64
62f48121-c915-45fe-bdac-a0fe8e2154ca,813016,TOWER_325,Houston,LTE,Motorola,SMS,2026-06-06 17:30:43,-112,97,1,96.65
a2e3a973-b192-4cd1-a46b-86800b62bdf9,851016,TOWER_78,Atlanta,4G,Motorola,DATA,2026-06-06 22:21:43,-91,33,1,434.08
fc2a86ee-66e0-468e-815d-d2617e193f9d,451243,TOWER_87,Austin,5G,Motorola,DATA,2026-06-09 06:08:43,-71,24,1,48.65
7700054b-9994-4d52-877d-5907158f1fff,210769,TOWER_37,Houston,LTE,Pixel,DATA,2026-06-04 19:27:43,-44,358,0,31.63
75fc1b1d-dbe2-4808-be46-b264a5aceab9,949342,TOWER_263,Dallas,4G,Motorola,DATA,2026-06-03 14:45:43,-107,231,1,423.97
0ad24eef-9809-4077-9a9c-47b49607a530,785713,TOWER_368,Chicago,5G,Motorola,SMS,2026-06-04 22:18:43,-92,11,0,417.51
c60d8f69-7a28-4228-ab75-7a62f1691606,546616,TOWER_372,Austin,LTE,Motorola,SMS,2026-06-07 12:55:43,-82,264,1,389.22
3652c0ca-c82e-4fc9-8b99-19ba8c7e9ffa,699144,TOWER_326,Houston,LTE,iPhone,SMS,2026-06-05 00:43:43,-61,131,1,393.53
cd22cef8-89c3-4225-8f02-699af81329d1,165690,TOWER_491,New York,LTE,Motorola,DATA,2026-06-05 23:30:43,-74,195,1,26.64
b3bfead8-5006-45e3-a4df-5043884db8e6,110853,TOWER_295,New York,5G,iPhone,CALL,2026-06-05 19:54:43,-71,330,1,264.93
2a7e2ba9-a1a1-4043-9664-24fec59f6bf1,203380,TOWER_490,Atlanta,LTE,Samsung,SMS,2026-06-07 15:56:43,-82,347,1,207.97
fe0b709d-9a54-4805-aed7-524fb8eee84c,336550,TOWER_395,Dallas,LTE,Samsung,DATA,2026-06-06 16:56:43,-75,410,0,107.49
034c96cb-73c2-4774-927c-ff0b327cfddf,404473,TOWER_342,Dallas,5G,iPhone,SMS,2026-06-06 00:40:43,-117,233,0,57.77
9236dcbe-2520-4f5e-b738-e20bfaff9aa8,781890,TOWER_214,Houston,4G,iPhone,CALL,2026-06-06 05:23:43,-66,406,1,323.63
45005f0a-655c-4e3c-89f2-d745016a6af5,510861,TOWER_277,New York,4G,Samsung,SMS,2026-06-06 13:00:43,-127,241,0,294.36
c03c5f9a-1fa3-43eb-bfd5-6f4a9934adb9,904393,TOWER_24,Dallas,4G,Motorola,CALL,2026-06-06 18:19:43,-50,176,0,141.17
f8b9f573-8717-4caf-b9f7-813758f9394f,326952,TOWER_381,Houston,5G,Pixel,SMS,2026-06-07 12:24:43,-81,325,0,249.13
d94abc8f-322d-4514-b83d-9ea1496e6395,743055,TOWER_317,Atlanta,4G,iPhone,SMS,2026-06-03 12:05:43,-58,455,0,264.93
a835e0b2-6739-4e82-9b41-d9d547799036,785887,TOWER_192,Dallas,5G,Samsung,CALL,2026-06-08 17:17:43,-50,276,0,357.66
6a3c371f-d6d8-4450-bf79-ec872b9548eb,235163,TOWER_73,Chicago,5G,Motorola,CALL,2026-06-06 08:31:43,-118,110,0,75.58
17ce3b13-9879-48d2-a4e3-3e2db489b914,635177,TOWER_209,Chicago,LTE,Samsung,CALL,2026-06-03 12:40:43,-77,26,0,214.07
e32a025e-0fc2-4546-b4a9-15ba13468d07,964844,TOWER_198,Austin,4G,iPhone,DATA,2026-06-07 21:23:43,-42,18,0,312.66
00a76486-2664-4fc3-8a5b-324996b0c305,655411,TOWER_440,Austin,5G,Motorola,DATA,2026-06-07 23:00:43,-85,353,0,24.74
94dd5a51-6507-44ac-8087-cab07f81f91c,460014,TOWER_36,New York,LTE,iPhone,SMS,2026-06-07 11:39:43,-74,175,0,232.41
0b04ba8a-4e9f-4520-a90a-b655fb98239d,699673,TOWER_421,Houston,4G,Motorola,SMS,2026-06-06 15:59:43,-115,274,1,253.06
6ba195fb-566d-421c-9040-fbbe7d78009d,512082,TOWER_437,New York,5G,iPhone,DATA,2026-06-09 08:24:43,-113,61,0,29.38
00344405-b90a-43d8-b643-7affeea5fda6,442474,TOWER_256,Atlanta,5G,Samsung,SMS,2026-06-07 00:41:43,-72,99,0,194.69
